document,quotation,Group,Codes,Themes
484,"You can include a Generic base class to define a user-defined class as generic. Example:

from typing import TypeVar, Generic from logging import Logger  T = TypeVar('T')  class LoggedVar(Generic[T]):     def __init__(self, value: T, name: str, logger: Logger) -> None:         self.name = name         self.logger = logger         self.value = value      def set(self, new: T) -> None:         self.log('Set ' + repr(self.value))         self.value = new      def get(self) -> T:         self.log('Get ' + repr(self.value))         return self.value      def log(self, message: str) -> None:         self.logger.info('{}: {}'.format(self.name, message)) 

Generic[T] as a base class defines that the class LoggedVar takes a single type parameter T. This also makes T valid as a type within the class body.

The Generic base class uses a metaclass that defines __getitem__ so that LoggedVar[t] is valid as a type:

from typing import Iterable  def zero_all_vars(vars: Iterable[LoggedVar[int]]) -> None:     for var in vars:         var.set(0) 

A generic type can have any number of type variables, and type variables may be constrained. This is valid:

from typing import TypeVar, Generic ...  T = TypeVar('T') S = TypeVar('S')  class Pair(Generic[T, S]):     ... 

Each type variable argument to Generic must be distinct. This is thus invalid:

from typing import TypeVar, Generic ...  T = TypeVar('T')  class Pair(Generic[T, T]):   # INVALID     ... 

The Generic[T] base class is redundant in simple cases where you subclass some other generic class and specify type variables for its parameters:

from typing import TypeVar, Iterator  T = TypeVar('T')  class MyIter(Iterator[T]):     ... 

That class definition is equivalent to:

class MyIter(Iterator[T], Generic[T]):     ... 

You can use multiple inheritance with Generic:

from typing import TypeVar, Generic, Sized, Iterable, Container, Tuple  T = TypeVar('T')  class LinkedList(Sized, Generic[T]):     ...  K = TypeVar('K') V = TypeVar('V')  class MyMapping(Iterable[Tuple[K, V]],                 Container[Tuple[K, V]],                 Generic[K, V]):     ... 

Subclassing a generic class without specifying type parameters assumes Any for each position. In the following example, MyIterable is not generic but implicitly inherits from Iterable[Any]:

from typing import Iterable  class MyIterable(Iterable):  # Same as Iterable[Any]     ... 

Generic metaclasses are not supported.",Type System Design,Support for Generic User-Defined Classes,Key Feature
484,"Type variables follow normal name resolution rules. However, there are some special cases in the static typechecking context:

A type variable used in a generic function could be inferred to represent different types in the same code block. Example:

from typing import TypeVar, Generic  T = TypeVar('T')  def fun_1(x: T) -> T: ...  # T here def fun_2(x: T) -> T: ...  # and here could be different  fun_1(1)                   # This is OK, T is inferred to be int fun_2('a')                 # This is also OK, now T is str 

A type variable used in a method of a generic class that coincides with one of the variables that parameterize this class is always bound to that variable. Example:

from typing import TypeVar, Generic  T = TypeVar('T')  class MyClass(Generic[T]):     def meth_1(self, x: T) -> T: ...  # T here     def meth_2(self, x: T) -> T: ...  # and here are always the same  a = MyClass()  # type: MyClass[int] a.meth_1(1)    # OK a.meth_2('a')  # This is an error! 

A type variable used in a method that does not match any of the variables that parameterize the class makes this method a generic function in that variable:

T = TypeVar('T') S = TypeVar('S') class Foo(Generic[T]):     def method(self, x: T, y: S) -> S:         ...  x = Foo()               # type: Foo[int] y = x.method(0, ""abc"")  # inferred type of y is str 

Unbound type variables should not appear in the bodies of generic functions, or in the class bodies apart from method definitions:

T = TypeVar('T') S = TypeVar('S')  def a_fun(x: T) -> None:     # this is OK     y = []  # type: List[T]     # but below is an error!     y = []  # type: List[S]  class Bar(Generic[T]):     # this is also an error     an_attr = []  # type: List[S]      def do_something(x: S) -> S:  # this is OK though         ... 

A generic class definition that appears inside a generic function should not use type variables that parameterize the generic function:

from typing import List  def a_fun(x: T) -> None:      # This is OK     a_list = []  # type: List[T]     ...      # This is however illegal     class MyGeneric(Generic[T]):         ... 

A generic class nested in another generic class cannot use same type variables. The scope of the type variables of the outer class doesn’t cover the inner one:

T = TypeVar('T') S = TypeVar('S')  class Outer(Generic[T]):     class Bad(Iterable[T]):       # Error         ...     class AlsoBad:         x = None  # type: List[T] # Also an error      class Inner(Iterable[S]):     # OK         ...     attr = None  # type: Inner[T] # Also OK 
",Type System Design,Type Variable Scoping and Binding Rules,Key Feature
484,User-defined generic classes can be instantiated. Suppose we write a Node class inheriting from Generic[T]:...,Type System Design,Generic Type Instantiation Behavior,Key Feature
484,"Generic[T] is only valid as a base class – it’s not a proper type. However, user-defined generic types such as LinkedList[T] from the above example and built-in generic types and ABCs such as List[T] and Iterable[T] are valid both as types and as base classes. For example, we can define a subclass of Dict that specializes type arguments:

from typing import Dict, List, Optional  class Node:     ...  class SymbolTable(Dict[str, List[Node]]):     def push(self, name: str, node: Node) -> None:         self.setdefault(name, []).append(node)      def pop(self, name: str) -> Node:         return self[name].pop()      def lookup(self, name: str) -> Optional[Node]:         nodes = self.get(name)         if nodes:             return nodes[-1]         return None 

SymbolTable is a subclass of dict and a subtype of Dict[str, List[Node]].

If a generic base class has a type variable as a type argument, this makes the defined class generic. For example, we can define a generic LinkedList class that is iterable and a container:

from typing import TypeVar, Iterable, Container  T = TypeVar('T')  class LinkedList(Iterable[T], Container[T]):     ... 

Now LinkedList[int] is a valid type. Note that we can use T multiple times in the base class list, as long as we don’t use the same type variable T multiple times within Generic[...].

Also consider the following example:

from typing import TypeVar, Mapping  T = TypeVar('T')  class MyDict(Mapping[str, T]):     ... 

In this case MyDict has a single parameter, T.",Type System Design,Generic Inheritance and User-Defined Generic Types,Key Feature
484,"A type variable may specify an upper bound using bound=<type> (note: <type> itself cannot be parameterized by type variables). This means that an actual type substituted (explicitly or implicitly) for the type variable must be a subtype of the boundary type. Example:

from typing import TypeVar, Sized  ST = TypeVar('ST', bound=Sized)  def longer(x: ST, y: ST) -> ST:     if len(x) > len(y):         return x     else:         return y  longer([1], [1, 2])  # ok, return type List[int] longer({1}, {1, 2})  # ok, return type Set[int] longer([1], {1, 2})  # ok, return type Collection[int] 

An upper bound cannot be combined with type constraints (as in used AnyStr, see the example earlier); type constraints cause the inferred type to be _exactly_ one of the constraint types, while an upper bound just requires that the actual type is a subtype of the boundary type.",Type System Design,Advanced Type Variable Constraints,Key Feature
484,"Consider a class Employee with a subclass Manager. Now suppose we have a function with an argument annotated with List[Employee]. Should we be allowed to call this function with a variable of type List[Manager] as its argument? Many people would answer “yes, of course” without even considering the consequences. But unless we know more about the function, a type checker should reject such a call: the function might append an Employee instance to the list, which would violate the variable’s type in the caller.

It turns out such an argument acts contravariantly, whereas the intuitive answer (which is correct in case the function doesn’t mutate its argument!) requires the argument to act covariantly. A longer introduction to these concepts can be found on Wikipedia and in PEP 483; here we just show how to control a type checker’s behavior.

By default generic types are considered invariant in all type variables, which means that values for variables annotated with types like List[Employee] must exactly match the type annotation – no subclasses or superclasses of the type parameter (in this example Employee) are allowed.

To facilitate the declaration of container types where covariant or contravariant type checking is acceptable, type variables accept keyword arguments covariant=True or contravariant=True. At most one of these may be passed. Generic types defined with such variables are considered covariant or contravariant in the corresponding variable. By convention, it is recommended to use names ending in _co for type variables defined with covariant=True and names ending in _contra for that defined with contravariant=True.

A typical example involves defining an immutable (or read-only) container class:

from typing import TypeVar, Generic, Iterable, Iterator  T_co = TypeVar('T_co', covariant=True)  class ImmutableList(Generic[T_co]):     def __init__(self, items: Iterable[T_co]) -> None: ...     def __iter__(self) -> Iterator[T_co]: ...     ...  class Employee: ...  class Manager(Employee): ...  def dump_employees(emps: ImmutableList[Employee]) -> None:     for emp in emps:         ...  mgrs = ImmutableList([Manager()])  # type: ImmutableList[Manager] dump_employees(mgrs)  # OK 

The read-only collection classes in typing are all declared covariant in their type variable (e.g. Mapping and Sequence). The mutable collection classes (e.g. MutableMapping and MutableSequence) are declared invariant. The one example of a contravariant type is the Generator type, which is contravariant in the send() argument type (see below).

Note: Covariance or contravariance is not a property of a type variable, but a property of a generic class defined using this variable. Variance is only applicable to generic types; generic functions do not have this property. The latter should be defined using only type variables without covariant or contravariant keyword arguments. For example, the following example is fine:

from typing import TypeVar  class Employee: ...  class Manager(Employee): ...  E = TypeVar('E', bound=Employee)  def dump_employee(e: E) -> None: ...  dump_employee(Manager())  # OK 

while the following is prohibited:

B_co = TypeVar('B_co', covariant=True)  def bad_func(x: B_co) -> B_co:  # Flagged as error by a type checker     ... ",Type System Design,Variance Support in Generic Types,Key Feature
484,"PEP 3141 defines Python’s numeric tower, and the stdlib module numbers implements the corresponding ABCs (Number, Complex, Real, Rational and Integral). There are some issues with these ABCs, but the built-in concrete numeric classes complex, float and int are ubiquitous (especially the latter two :-).

Rather than requiring that users write import numbers and then use numbers.Float etc., this PEP proposes a straightforward shortcut that is almost as effective: when an argument is annotated as having type float, an argument of type int is acceptable; similar, for an argument annotated as having type complex, arguments of type float or int are acceptable. This does not handle classes implementing the corresponding ABCs or the fractions.Fraction class, but we believe those use cases are exceedingly rare.",Type System Design,Numeric Type Compatibility Rules,Design Decision
484,"When a type hint contains names that have not been defined yet, that definition may be expressed as a string literal, to be resolved later.

A situation where this occurs commonly is the definition of a container class, where the class being defined occurs in the signature of some of the methods. For example, the following code (the start of a simple binary tree implementation) does not work:

class Tree:     def __init__(self, left: Tree, right: Tree):         self.left = left         self.right = right 

To address this, we write:

class Tree:     def __init__(self, left: 'Tree', right: 'Tree'):         self.left = left         self.right = right 

The string literal should contain a valid Python expression (i.e., compile(lit, '', 'eval') should be a valid code object) and it should evaluate without errors once the module has been fully loaded. The local and global namespace in which it is evaluated should be the same namespaces in which default arguments to the same function would be evaluated.

Moreover, the expression should be parseable as a valid type hint, i.e., it is constrained by the rules from the section Acceptable type hints above.

It is allowable to use string literals as part of a type hint, for example:

class Tree:     ...     def leaves(self) -> List['Tree']:         ... 

A common use for forward references is when e.g. Django models are needed in the signatures. Typically, each model is in a separate file, and has methods taking arguments whose type involves other models. Because of the way circular imports work in Python, it is often not possible to import all the needed models directly:

# File models/a.py from models.b import B class A(Model):     def foo(self, b: B): ...  # File models/b.py from models.a import A class B(Model):     def bar(self, a: A): ...  # File main.py from models.a import A from models.b import B 

Assuming main is imported first, this will fail with an ImportError at the line from models.a import A in models/b.py, which is being imported from models/a.py before a has defined class A. The solution is to switch to module-only imports and reference the models by their _module_._class_ name:

# File models/a.py from models import b class A(Model):     def foo(self, b: 'b.B'): ...  # File models/b.py from models import a class B(Model):     def bar(self, a: 'a.A'): ...  # File main.py from models.a import A from models.b import B ",Type System Design,Support for Forward References in Type Annotations,Key Feature
484,"Since accepting a small, limited set of expected types for a single argument is common, there is a new special factory called Union. Example:

from typing import Union  def handle_employees(e: Union[Employee, Sequence[Employee]]) -> None:     if isinstance(e, Employee):         e = [e]     ... 

A type factored by Union[T1, T2, ...] is a supertype of all types T1, T2, etc., so that a value that is a member of one of these types is acceptable for an argument annotated by Union[T1, T2, ...].

One common case of union types are optional types. By default, None is an invalid value for any type, unless a default value of None has been provided in the function definition. Examples:

def handle_employee(e: Union[Employee, None]) -> None: ... 

As a shorthand for Union[T1, None] you can write Optional[T1]; for example, the above is equivalent to:

from typing import Optional  def handle_employee(e: Optional[Employee]) -> None: ... 

A past version of this PEP allowed type checkers to assume an optional type when the default value is None, as in this code:

def handle_employee(e: Employee = None): ... 

This would have been treated as equivalent to:

def handle_employee(e: Optional[Employee] = None) -> None: ... 

This is no longer the recommended behavior. Type checkers should move towards requiring the optional type to be made explicit.",Type System Design,Support for Union and Optional Types,Key Feature
484,"A singleton instance is frequently used to mark some special condition, in particular in situations where None is also a valid value for a variable. Example:

_empty = object()  def func(x=_empty):     if x is _empty:  # default argument value         return 0     elif x is None:  # argument was provided and it's None         return 1     else:         return x * 2 

To allow precise typing in such situations, the user should use the Union type in conjunction with the enum.Enum class provided by the standard library, so that type errors can be caught statically:

from typing import Union from enum import Enum  class Empty(Enum):     token = 0 _empty = Empty.token  def func(x: Union[int, None, Empty] = _empty) -> int:      boom = x * 42  # This fails type check      if x is _empty:         return 0     elif x is None:         return 1     else:  # At this point typechecker knows that x can only have type int         return x * 2 

Since the subclasses of Enum cannot be further subclassed, the type of variable x can be statically inferred in all branches of the above example. The same approach is applicable if more than one singleton object is needed: one can use an enumeration that has more than one value:

class Reason(Enum):     timeout = 1     error = 2  def process(response: Union[str, Reason] = '') -> str:     if response is Reason.timeout:         return 'TIMEOUT'     elif response is Reason.error:         return 'ERROR'     else:         # response can be only str, all other possible values exhausted         return 'PROCESSED: ' + response ",Type System Design,Support for Precise Typing with Enumerated Values,Key Feature
